,YBL113C,YEL077C,YHR054C,YMR317W,YOL155C,YAL063C,YAR050W,YIL169C,YPL146C,YGL066W,YFR019W,YJL020C,YLR207W,YLR318W,YGL014W,YPL190C,YLL031C,YPR204W,YKL101W,YJR131W,YMR066W,YOR160W,YPL110C,YER011W,YBR289W,YLR451W,YBR212W,YKL068W,YPL051W
repsWithMutation,5.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,4.0
pvalue,0.0,0.0037334328915437746,0.0,0.005040134403584096,0.0029867463132350197,0.0,0.0,0.005786820981892851,0.0018667164457718873,0.02333395557214859,0.007093522493933172,0.004106776180698152,0.0,0.002800074668657831,0.030240806421504573,0.0037334328915437746,0.021840582415531083,0.004853462759006907,0.04816128430091469,0.01642710472279261,0.005413477692738473,0.025574015307074854,0.045174537987679675,0.0014933731566175099,0.012880343475826022,0.00018667164457718873,0.007093522493933172,0.008586895650550682,0.0
padj,0.0,0.00832842721959765,0.0,0.009135243606496174,0.007874149371255962,0.0,0.0,0.009323211581938481,0.006014975214153859,0.027067388463692364,0.010285607616203098,0.008506893517160458,0.0,0.007874149371255962,0.03248086615643084,0.00832842721959765,0.026390703752100057,0.009135243606496174,0.04816128430091469,0.020712436389608072,0.009234756064083279,0.02852486322712195,0.046787914344382515,0.005413477692738473,0.016978634581770666,0.0007733539561054962,0.010285607616203098,0.011858093993617608,0.0
