,YBL113C,YEL077C,YHR054C,YOR330C,YLL013C,YLR451W,YFR016C,YGL014W,YML029W,YMR164C,YJL019W,YMR052W,YPL177C,YFL011W,YGL234W,YMR317W,YOL155C,Q0140,YHL050C,YBR150C,YDR137W,YDR174W,YLR318W,YPL190C,YKL182W,YKL029C,YDL215C,YAL048C,YPR026W,YGR159C,YJL165C,YLR309C,YML034W,YOL081W,YPL216W,YDR443C,YPL103C,YDR135C,YBR235W,YDL029W,YHR149C,YOL066C,YBR263W,YJR131W,YDR485C,YGL093W
repsWithMutation,5.0,5.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,5.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
pvalue,0.0,0.012880343475826022,0.0031734179578122084,0.03677431398170618,0.0005600149337315662,0.00037334328915437746,0.037521000560014936,0.02352062721672578,0.0,0.007653537427664738,0.00877356729512787,0.0,0.0,0.01624043307821542,0.02053388090349076,0.015120403210752286,0.014560388277020721,0.004293447825275341,0.009893597162591002,0.014373716632443531,0.0,0.006906850849355983,0.008586895650550682,0.017173791301101363,0.060481612843009146,0.006160164271047228,0.024080642150457344,0.0,0.015680418144483853,0.0,0.0,0.0,0.011573641963785701,0.09632256860182938,0.028374089975732687,0.022587268993839837,0.005413477692738473,0.03341422437931678,0.037521000560014936,0.013813701698711966,0.026880716819115177,0.021840582415531083,0.0,0.00037334328915437746,0.017173791301101363,0.00037334328915437746
padj,0.0,0.02369983199551988,0.009731815070624105,0.039226500585470156,0.001840049067975146,0.0013210608693154896,0.039226500585470156,0.029150251024237836,0.0,0.017603136083628897,0.018344731617085545,0.0,0.0,0.023939224237898873,0.027781132987075734,0.023939224237898873,0.023920637883676897,0.012343662497666606,0.019787194325182004,0.023920637883676897,0.0,0.01672184942475659,0.018344731617085545,0.023939224237898873,0.0618256486839649,0.01574264202600958,0.029150251024237836,0.0,0.023939224237898873,0.0,0.0,0.0,0.022182813763922594,0.09632256860182938,0.03263020347209259,0.028861510381017568,0.014648233756821751,0.037489129791428585,0.039226500585470156,0.023920637883676897,0.03170546086357175,0.028704765460412278,0.0,0.0013210608693154896,0.023939224237898873,0.0013210608693154896
