,YBL113C,YLR247C,YMR317W,YOL155C,YDR080W,YNL054W,YLR087C,YLR450W,YBL079W,YDL132W,YDR245W,YML069W,YDR232W,YMR124W,YAL022C,YCL031C,YCL030C,YDR219C,YKL204W,YPR008W,YGR023W,YLR389C,YBR017C,YDR135C,YOL017W,Q0115
repsWithMutation,3.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
pvalue,0.0009333582228859437,0.04293447825275341,0.002800074668657831,0.0018667164457718873,0.0,0.026880716819115177,0.002800074668657831,0.015120403210752286,0.03136083628896771,0.019413851036027628,0.004666791114429718,0.011013627030054134,0.006906850849355983,0.0016800448011946986,0.005600149337315662,0.004666791114429718,0.018293821168564494,0.006906850849355983,0.005040134403584096,0.008213552361396304,0.0014933731566175099,0.01624043307821542,0.014933731566175099,0.027440731752846743,0.01922717939145044,0.00448011946985253
padj,0.009706925518013814,0.04293447825275341,0.010400277340729087,0.009706925518013814,0.0,0.029727459398917303,0.010400277340729087,0.021840582415531083,0.03261526974052641,0.022943642133487197,0.011913044953926045,0.01789714392383797,0.012827008720232541,0.009706925518013814,0.012133656897517267,0.011913044953926045,0.022943642133487197,0.012827008720232541,0.011913044953926045,0.01423682409308693,0.009706925518013814,0.022223750528084257,0.021840582415531083,0.029727459398917303,0.022943642133487197,0.011913044953926045
