,YBL113C,YOL155C,YKL164C,YKR098C,YPL016W,YMR043W,YBR169C,YCR018C,YNCC0008W,YNCC0009C,YPL051W,YMR164C,YMR189W,YJL134W,YDR069C,YKL197C,YJL133C-A,YPR154W,YGL008C,YNL172W,YDR285W,YPL177C,Q0045,YGR207C,YNL023C,Q0070,YEL077C,YJR127C,YKR095W,YKR082W,YER017C,YLR175W,YAR019C,YHR054C,YPL083C,YNR041C,YGL178W,YIL142W,YGL197W,YNL127W,YPL111W
repsWithMutation,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
pvalue,0.0,0.010453612096322569,0.009520253873436624,0.02333395557214859,0.048907970879223446,0.009146910584282247,0.00877356729512787,0.0,0.0,0.0,0.0,0.004293447825275341,0.0,0.0,0.03285420944558522,0.03397423931304835,0.0013067015120403211,0.0018667164457718873,0.006160164271047228,0.030054134776927383,0.02072055254806795,0.0,0.00037334328915437746,0.006720179204778794,0.024640657084188913,0.01642710472279261,0.020160537614336383,0.0380810154937465,0.027067388463692364,0.0364009706925518,0.02781407504200112,0.011200298674631324,0.020907224192645138,0.005040134403584096,0.00877356729512787,0.005600149337315662,0.03509426918051148,0.013067015120403211,0.02072055254806795,0.004666791114429718,0.006720179204778794
padj,0.0,0.01863469982387936,0.017742291309586437,0.030861038014777166,0.048907970879223446,0.017742291309586437,0.017742291309586437,0.0,0.0,0.0,0.0,0.01466928006969075,0.0,0.0,0.03741729409080539,0.037647130049594114,0.005357476199365317,0.0069577612978770345,0.015307074855329476,0.035206272167257795,0.028573206396615022,0.0,0.0017007860950366085,0.015307074855329476,0.031570841889117046,0.025904280524403727,0.028573206396615022,0.039033040881090164,0.03354050225653076,0.03826768713832369,0.03354050225653076,0.019133843569161847,0.028573206396615022,0.014760393610496279,0.017742291309586437,0.015307074855329476,0.03786486937897291,0.021429904797461267,0.028573206396615022,0.014718341207047573,0.015307074855329476
