,YBL113C,YMR317W,YAR050W,YMR162C,YPL016W,YNL233W,YKL109W,YIL147C,YGL008C,YOL013C,YFL067W,YHR054C,YLR106C,YFR045W,YHL050C,YLR207W,YLR426W,YJR033C,YCR011C,YJR126C,YGR237C,Q0045,YER001W,YFR022W,YOL155C,YOR009W,YIL169C,YIR019C,YML029W,YFL033C
repsWithMutation,5.0,4.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,5.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0
pvalue,0.0,0.006720179204778794,0.00037334328915437746,0.0630950158670898,0.013627030054134777,0.006160164271047228,0.010453612096322569,0.043307821541907786,0.0,0.0,0.0013067015120403211,0.0011200298674631324,0.08736232966212433,0.009893597162591002,0.006533507560201606,0.0037334328915437746,0.00877356729512787,0.03210752286727646,0.014373716632443531,0.0,0.0,0.0,0.013440358409557589,0.019787194325182004,0.004293447825275341,0.006160164271047228,0.017173791301101363,0.007653537427664738,0.005973492626470039,0.02501400037334329
padj,0.0,0.012600336008960239,0.0016000426678044748,0.06527070606940323,0.018582313710183786,0.012600336008960239,0.015680418144483853,0.04640123736632977,0.0,0.0,0.004355671706801071,0.004200112002986747,0.08736232966212433,0.015621469204091057,0.012600336008960239,0.011200298674631324,0.01462261215854645,0.035675025408084954,0.01874832604231765,0.0,0.0,0.0,0.018582313710183786,0.023744633190218405,0.01170940315984184,0.012600336008960239,0.021467239126376703,0.013506242519408362,0.012600336008960239,0.028862308123088407
