,YGR013W,YAR050W,YHL030W,YJL157C,YBR148W,YGL008C,YOL013C,YKL089W,YOL091W,YKL171W,YLR399C,YPL177C,Q0045,YGR184C,YER111C,YLR256W,YAL036C,YER014W,YNL288W,YMR317W,YPL016W,YDR174W,YLR207W,YFR016C,YLR318W,YDR457W,YOR070C,YOR172W,YJR061W,YJL042W,YNL104C,YLR176C,YLR019W,YBL113C,YEL050C,YMR205C,YKL101W,YLR183C,YJL134W,YBR112C,YDR081C,YDL202W,YLL036C,YFL067W,YJR134C,YOR328W,YLR373C,YDR294C,YNL082W
repsWithMutation,2.0,4.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
pvalue,0.007840209072241927,0.00018667164457718873,0.03509426918051148,0.01904050774687325,0.0,0.0,0.005786820981892851,0.012320328542094456,0.0,0.0052268060481612845,0.01605376143363823,0.0,0.0,0.07578868769833862,0.00018667164457718873,0.029494119843195818,0.004106776180698152,0.015867089789061043,0.008586895650550682,0.007093522493933172,0.01904050774687325,0.003360089602389397,0.004666791114429718,0.011386970319208512,0.007466865783087549,0.053948105282807544,0.010640283740899757,0.009706925518013814,0.018853836102296063,0.030800821355236138,0.012693671831248834,0.006533507560201606,0.006160164271047228,0.006906850849355983,0.007653537427664738,0.02072055254806795,0.05264140377076722,0.011013627030054134,0.0037334328915437746,0.024267313795034533,0.016987119656524174,0.005040134403584096,0.011946985252940079,0.002053388090349076,0.01642710472279261,0.048907970879223446,0.020160537614336383,0.01624043307821542,0.021093895837222328
padj,0.017462283842720656,0.0013067015120403211,0.03821375977433472,0.024552233673599717,0.0,0.0,0.017462283842720656,0.020732997324373094,0.0,0.017462283842720656,0.023674356806377583,0.0,0.0,0.07578868769833862,0.0013067015120403211,0.033609578425967325,0.017462283842720656,0.023674356806377583,0.018293821168564494,0.017462283842720656,0.024552233673599717,0.017462283842720656,0.017462283842720656,0.02066524243115619,0.017462283842720656,0.055072024142866036,0.02066524243115619,0.01981830626594487,0.024552233673599717,0.03430091469105843,0.020732997324373094,0.017462283842720656,0.017462283842720656,0.017462283842720656,0.017462283842720656,0.025209777951802292,0.054881463505693485,0.02066524243115619,0.017462283842720656,0.028311866094206956,0.02378196751913384,0.017462283842720656,0.020732997324373094,0.012577002053388091,0.023674356806377583,0.05209762115395541,0.025209777951802292,0.023674356806377583,0.025209777951802292
