,YFL067W,YKL010C,YBR140C,YGR023W,YNL054W,YOL081W,YDR173C,YER033C,YGR098C,YKL028W,YLR278C,YNL267W,YNL141W,YBL113C,YER011W,YAR050W,YHL050C,YPL190C,YER128W,YML103C,YPR204W,YEL077C,YHR054C,YLR035C-A,YMR317W,YPL146C,Q0140,YBL081W,YOL034W,YBL022C,YBR003W,YLR454W,YFL033C,YDR145W,YGL058W,YLL003W,YOL076W
repsWithMutation,3.0,2.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
pvalue,0.0013067015120403211,0.014187044987866344,0.0,0.0052268060481612845,0.022587268993839837,0.0013067015120403211,0.005413477692738473,0.030614149710658952,0.046481239499719995,0.012320328542094456,0.030240806421504573,0.025200672017920478,0.005786820981892851,0.0,0.0016800448011946986,0.0,0.00877356729512787,0.016613776367369798,0.002240059734926265,0.024453985439611723,0.0,0.014187044987866344,0.0016800448011946986,0.0,0.005600149337315662,0.005973492626470039,0.004293447825275341,0.007093522493933172,0.026134030240806422,0.027254060108269553,0.0014933731566175099,0.02072055254806795,0.060854956132163525,0.010640283740899757,0.003360089602389397,0.026507373529960798,0.00018667164457718873
padj,0.005651059785836713,0.02099682658204219,0.0,0.011632590904178498,0.02984746259900264,0.005651059785836713,0.011632590904178498,0.032363529694125176,0.04777238504137888,0.01981965895902152,0.032363529694125176,0.03055758254563556,0.011632590904178498,0.0,0.005651059785836713,0.0,0.015458189996177676,0.023642681753564713,0.006906850849355983,0.03055758254563556,0.0,0.02099682658204219,0.005651059785836713,0.0,0.011632590904178498,0.011632590904178498,0.011346969252513401,0.013123016613776368,0.03055758254563556,0.03055758254563556,0.005651059785836713,0.028394831269574598,0.060854956132163525,0.01789502265514959,0.00956333194526213,0.03055758254563556,0.001151141808225997
