,YLR035C-A,YMR317W,YOL155C,YGR204W,YJL020C,YPR204W,YGL195W,YOR206W,YHR045W,YKL205W,YMR308C,YBL113C,YEL077C,YHR054C,YBL051C,Q0115,YGR116W,YML091C,YJR065C
repsWithMutation,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
pvalue,0.0,0.00018667164457718873,0.00018667164457718873,0.01026694045174538,0.002240059734926265,0.003920104536120963,0.0679484786260967,0.008400224005973492,0.008400224005973492,0.024267313795034533,0.023147283927571403,0.0,0.013253686764980399,0.0011200298674631324,0.0072801941385103605,0.0024267313795034535,0.027067388463692364,0.0052268060481612845,0.0052268060481612845
padj,0.0,0.0008866903117416465,0.0008866903117416465,0.013933704898797302,0.006586842315795089,0.009310248273287289,0.0679484786260967,0.01227725047026895,0.01227725047026895,0.027122291888568007,0.027122291888568007,0.0,0.01678800323564184,0.0042561134963599034,0.01227725047026895,0.006586842315795089,0.02857113226723083,0.009930931491506442,0.009930931491506442
