,YBL113C,YDR017C,YGR134W,YIL149C,YJR090C,YLR318W,YLR430W,YMR102C,YJR041C,YOR341W,YGR274C,YGR014W,YML124C,YCL052C,YGR289C,YJL207C,YJL092W,YJR016C,YJR150C,YML060W,YNL309W,YAR050W,YKL213C,YML017W,YBR101C,YGR023W,YCR084C,YJR127C,YGL075C,YPL063W,YNR020C,YGL100W,YOR125C,YKR019C,YLR222C,YLR310C,YLR383W,YML056C,YNR013C,YOL061W,YLR398C,YHL050C,YBR140C,YML010W,YBR212W,YBR223C,YCR037C,YIL112W,YCR081W,YGR217W,YGR116W,YPL167C,YHR023W,YPR055W
repsWithMutation,4.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
pvalue,0.0005600149337315662,0.002053388090349076,0.026694045174537988,0.045174537987679675,0.0072801941385103605,0.00018667164457718873,0.06421504573455292,0.007466865783087549,0.023893970505880158,0.024640657084188913,0.005786820981892851,0.03677431398170618,0.009893597162591002,0.009146910584282247,0.007466865783087549,0.06477506066828449,0.021467239126376703,0.014000373343289154,0.005040134403584096,0.005600149337315662,0.007653537427664738,0.0,0.012507000186671644,0.0018667164457718873,0.004106776180698152,0.004293447825275341,0.011013627030054134,0.04816128430091469,0.004293447825275341,0.0009333582228859437,0.0024267313795034535,0.004106776180698152,0.003360089602389397,0.008213552361396304,0.0009333582228859437,0.02053388090349076,0.01642710472279261,0.019787194325182004,0.004293447825275341,0.00877356729512787,0.03416091095762554,0.0018667164457718873,0.058988239686391636,0.009520253873436624,0.0014933731566175099,0.010080268807168192,0.002800074668657831,0.026134030240806422,0.0029867463132350197,0.025574015307074854,0.04685458278887437,0.03248086615643084,0.03677431398170618,0.024453985439611723
padj,0.010080268807168192,0.012320328542094456,0.032760873623296626,0.04978418472111638,0.016531640843755833,0.005040134403584096,0.06477506066828449,0.016531640843755833,0.032453548354785394,0.032453548354785394,0.014880396810581616,0.041371103229419455,0.017559177922163948,0.017559177922163948,0.016531640843755833,0.06477506066828449,0.030506076653272155,0.022235887074635714,0.014324592515449534,0.014880396810581616,0.016531640843755833,0.0,0.020466000305462688,0.012320328542094456,0.012880343475826023,0.012880343475826023,0.018585495613216353,0.0509943010244979,0.012880343475826023,0.010080268807168192,0.012880343475826023,0.012880343475826023,0.012880343475826023,0.01705891644290002,0.010080268807168192,0.029968366724013536,0.025344675858022882,0.029680791487773008,0.012880343475826023,0.01754713459025574,0.040101938950256065,0.012320328542094456,0.061257018135868244,0.017559177922163948,0.012320328542094456,0.017559177922163948,0.012880343475826023,0.032760873623296626,0.012880343475826023,0.032760873623296626,0.050602949411984316,0.038977039387717,0.041371103229419455,0.032453548354785394
