,YMR317W,YOL155C,YAR050W,YHR211W,Q0140,YEL063C,YBR150C,YLR207W,YNL271C,YDR299W,YKL139W,YCR011C,YMR164C,YLL040C,YOL013C,YBL113C,YLR035C-A,YAL063C,YPL016W,YDR174W,YDR309C,YKR054C,YGL216W,YGR092W,YEL040W,YLR318W
repsWithMutation,5.0,4.0,3.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
pvalue,0.0,0.002053388090349076,0.0,0.01642710472279261,0.0011200298674631324,0.003360089602389397,0.005973492626470039,0.0,0.009146910584282247,0.0052268060481612845,0.007840209072241927,0.0011200298674631324,0.002240059734926265,0.09632256860182938,0.0007466865783087549,0.0,0.0,0.0,0.003546761246966586,0.0026134030240806422,0.0016800448011946986,0.09184244913197685,0.01176031360836289,0.006160164271047228,0.014933731566175099,0.003920104536120963
padj,0.0,0.004853462759006907,0.0,0.01779603011635866,0.003235641839337938,0.006147719494742083,0.008429698476169891,0.0,0.011324746437682782,0.00799393866189373,0.010192271793914505,0.003235641839337938,0.004853462759006907,0.09632256860182938,0.00277340729086109,0.0,0.0,0.0,0.006147719494742083,0.0052268060481612845,0.0043681164831062165,0.09551614709725592,0.013898552446247051,0.008429698476169891,0.016881609596545763,0.006370169871196565
