,YBL113C,YCR069W,YEL077C,YER011W,YFL067W,YHR054C,YIR006C,YJR138W,YKL209C,YMR317W,YNR067C,YOL155C,YOR141C,YAR050W,YCR036W,YDR373W,YHR211W,YIL169C,YOR372C,YOR373W,YDR398W,YHL050C,YLR320W,YML017W,YGL194C,YJL020C,YJR090C
repsWithMutation,5.0,4.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
pvalue,0.0,0.002053388090349076,0.009706925518013814,0.00037334328915437746,0.00037334328915437746,0.00037334328915437746,0.002240059734926265,0.04984132910210939,0.04293447825275341,0.0,0.02781407504200112,0.0018667164457718873,0.026134030240806422,0.0,0.007653537427664738,0.0029867463132350197,0.029680791487773008,0.0052268060481612845,0.00877356729512787,0.006533507560201606,0.016987119656524174,0.003360089602389397,0.008026880716819115,0.00448011946985253,0.015680418144483853,0.002053388090349076,0.015307074855329476
padj,0.0,0.006048161284300915,0.013794052051914366,0.0016800448011946986,0.0016800448011946986,0.0016800448011946986,0.006048161284300915,0.04984132910210939,0.044585804339397773,0.0,0.03129083442225126,0.006048161284300915,0.030679078978337975,0.0,0.012748575256124476,0.007331104587031413,0.032055254806794845,0.010080268807168192,0.013160350942691804,0.01176031360836289,0.02084782866937058,0.007560201605376144,0.012748575256124476,0.0093048635143091,0.020160537614336383,0.006048161284300915,0.020160537614336383
