,YBL113C,YOL155C,Q0140,YHL050C,YML017W,YLR436C,YJL157C,YLR084C,YLR081W,YMR164C,YPL103C,YOL013C,YNL262W,YEL022W,YPL177C,YDL122W,YGL093W,YOR308C,YDR265W,YAL063C,YAR050W,YDR457W,YHL030W,YDL169C,YBR083W,YDL102W,YGL197W,YNL127W,YOR166C,YER133W,YOL004W,YCR018C,YNCC0008W,YNCC0009C,YBR097W,YPR095C
repsWithMutation,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
pvalue,0.002240059734926265,0.0,0.002800074668657831,0.010640283740899757,0.015493746499906664,0.01605376143363823,0.027627403397423932,0.018293821168564494,0.01754713459025574,0.007093522493933172,0.0,0.0,0.0711218965839089,0.050774687324995335,0.0,0.003920104536120963,0.018853836102296063,0.015493746499906664,0.004293447825275341,0.0,0.00037334328915437746,0.1474705992159791,0.0414411050961359,0.0037334328915437746,0.011013627030054134,0.03416091095762554,0.00018667164457718873,0.0,0.011386970319208512,0.016613776367369798,0.054881463505693485,0.0,0.0,0.0,0.018293821168564494,0.012880343475826022
padj,0.006720179204778794,0.0,0.007754052928590917,0.02049654657457532,0.023404762058022697,0.023404762058022697,0.033152884076908716,0.023404762058022697,0.023404762058022697,0.015021577045976129,0.0,0.0,0.07315395077202058,0.055390567990904006,0.0,0.009408250886690311,0.023404762058022697,0.023404762058022697,0.009660257606869517,0.0,0.0012218507645052352,0.1474705992159791,0.046621243233152886,0.009408250886690311,0.02049654657457532,0.03967073530562965,0.0006720179204778794,0.0,0.02049654657457532,0.023404762058022697,0.05810978488838134,0.0,0.0,0.0,0.023404762058022697,0.02208058881570175
