,YBL113C,YAR050W,YHR211W,YIL169C,YPL032C,YDL045C,YGL022W,YMR189W,YDR218C,YJL057C,YDR464W,YAL048C,YDL203C,YMR008C,Q0045,YFL067W,YIR006C,YMR317W,YAL035W,YGL086W,YHL050C,YFR016C,YPL012W,YMR207C,YDR173C,YPR204W,YFR008W,YDR138W,YLR336C,YHR034C,YKL179C,YLR238W,YPL243W,YOL155C,YAL009W,YNL251C,YLR305C,YDL171C,YJR110W,YLR371W,YMR276W,YEL077C,YBR274W
repsWithMutation,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0
pvalue,0.0,0.008026880716819115,0.0364009706925518,0.019973865969759193,0.020347209258913573,0.0052268060481612845,0.021280567481799514,0.0,0.007653537427664738,0.0,0.024080642150457344,0.015120403210752286,0.011200298674631324,0.0072801941385103605,0.00018667164457718873,0.00037334328915437746,0.056188165017733806,0.004666791114429718,0.014560388277020721,0.018107149523987308,0.009333582228859437,0.008026880716819115,0.03248086615643084,0.066268433824902,0.004293447825275341,0.006533507560201606,0.004666791114429718,0.015120403210752286,0.025760686951652043,0.006533507560201606,0.014187044987866344,0.0,0.013253686764980399,0.004106776180698152,0.007653537427664738,0.012320328542094456,0.07336195631883517,0.07429531454172111,0.002053388090349076,0.0,0.010080268807168192,0.009146910584282247,0.01754713459025574
padj,0.0,0.017257793541161096,0.040134403584095577,0.025733235239214225,0.025733235239214225,0.017257793541161096,0.026144697191925116,0.0,0.017257793541161096,0.0,0.02876298923526849,0.02167257793541161,0.020067201792047788,0.017257793541161096,0.001337813452803186,0.002293394490519747,0.06040227739406384,0.016722668160039825,0.02167257793541161,0.024331482172857945,0.018242910720043443,0.017257793541161096,0.03675466433490858,0.06950104035294599,0.016722668160039825,0.017257793541161096,0.016722668160039825,0.02167257793541161,0.029938095646514538,0.017257793541161096,0.02167257793541161,0.0,0.02167257793541161,0.016722668160039825,0.017257793541161096,0.021190965092402463,0.07429531454172111,0.07429531454172111,0.011036960985626284,0.0,0.018845719943836187,0.018242910720043443,0.024331482172857945
