,YBL113C,YEL077C,YMR317W,YAR050W,YHR211W,YKL164C,YPR154W,YHR050W,YJL109C,YLR318W,YMR179W,YOR149C,YHR054C,YLR035C-A,YOL155C,YDL185W,YNL287W,Q0140,YJR033C,YMR205C,YPL012W,YCR093W,YDR170C,YMR093W,YMR207C
repsWithMutation,5.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
pvalue,0.0,0.006720179204778794,0.00037334328915437746,0.004666791114429718,0.01754713459025574,0.0014933731566175099,0.003546761246966586,0.0,0.03994773193951839,0.0029867463132350197,0.024453985439611723,0.005600149337315662,0.0018667164457718873,0.0,0.003360089602389397,0.004293447825275341,0.024267313795034533,0.0014933731566175099,0.008586895650550682,0.023147283927571403,0.0380810154937465,0.045174537987679675,0.006720179204778794,0.009893597162591002,0.058241553108082884
padj,0.0,0.011200298674631324,0.002333395557214859,0.009722481488395246,0.02437102026424408,0.006222388152572958,0.008866903117416464,0.0,0.04342144776034607,0.008866903117416464,0.029111887428109197,0.010769517956376273,0.006666844449185311,0.0,0.008866903117416464,0.009722481488395246,0.029111887428109197,0.006222388152572958,0.01341702445398544,0.029111887428109197,0.04327388124289375,0.047056810403833,0.011200298674631324,0.01454940759204559,0.058241553108082884
