,YBL113C,YOL155C,YFL033C,YML017W,YCR032W,YAL021C,YDL005C,YPR204W,YKL101W,YBL088C,YMR189W,YGR255C,YJL129C,YLR224W,YHR098C,YDR103W,YMR307W,YDR365C,YAL015C,YGL197W,YML117W,YDR356W,YDR093W,YDR222W,YNL102W,YHR054C,YMR317W,Q0140,YKL010C,YOR070C,YBR212W,YKR089C,YHL007C,YOR043W,YGR125W,YLL015W,YML080W,YHR015W,YPL177C,YDR406W,YGL111W,YMR155W,YPR164W,YKR093W,YIL109C,YJR061W,YIL019W,YNR016C,YKL171W,YLL021W,YGL140C,YIL101C,YKL121W,YLL034C,YNL290W,YJL141C,YJR138W,YHL050C,YKR054C,YDR217C,YER075C
repsWithMutation,5.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
pvalue,0.0,0.037334328915437746,0.15624416651110695,0.047787941011760315,0.14299047974612655,0.03266753780100803,0.014373716632443531,0.049094642523800636,0.13291021093895838,0.12768340489079708,0.03229419451185365,0.04666791114429718,0.03509426918051148,0.030614149710658952,0.060108269553854766,0.0729886130296808,0.044801194698525296,0.03696098562628337,0.01176031360836289,0.002053388090349076,0.033040881090162406,0.07354862796341236,0.0513347022587269,0.025574015307074854,0.10976292701138697,0.012320328542094456,0.03714765727086056,0.013627030054134777,0.09557588202352063,0.0011200298674631324,0.03957438865036401,0.08138883703565429,0.0795221205898824,0.0,0.037334328915437746,0.09762927011386971,0.028747433264887063,0.05114803061414971,0.0,0.006720179204778794,0.03266753780100803,0.037707672204592126,0.005786820981892851,0.027627403397423932,0.060668284487586335,0.07578868769833862,0.00037334328915437746,0.015867089789061043,0.0009333582228859437,0.06645510546947919,0.056934851596042564,0.03845435878290088,0.06346835915624417,0.050588015680418146,0.012320328542094456,0.025200672017920478,0.11293634496919917,0.0007466865783087549,0.3095015867089789,0.0072801941385103605,0.04853462759006907
padj,0.0,0.07100110904918248,0.15884823595295874,0.0745575437567224,0.14783761465277492,0.07100110904918248,0.05479979466119096,0.0745575437567224,0.13978487702200795,0.13664364383050212,0.07100110904918248,0.0745575437567224,0.07100110904918248,0.07100110904918248,0.08223923008317258,0.09156053685241129,0.0745575437567224,0.07100110904918248,0.05368143150484013,0.015657084188911704,0.07100110904918248,0.09156053685241129,0.0745575437567224,0.07100110904918248,0.12173706450353827,0.05368143150484013,0.07100110904918248,0.05479979466119096,0.11000243025348601,0.009760260273607296,0.07100110904918248,0.09547536652259446,0.09511469325456522,0.0,0.07100110904918248,0.11028491623974171,0.07100110904918248,0.0745575437567224,0.0,0.040371985677193814,0.07100110904918248,0.07100110904918248,0.03922178665505154,0.07100110904918248,0.08223923008317258,0.09246219899197311,0.005693485159604256,0.05693485159604257,0.00948914193267376,0.08625024326889853,0.08076804528740922,0.07100110904918248,0.0841645632289325,0.0745575437567224,0.05368143150484013,0.07100110904918248,0.12301994719859195,0.00910957625536681,0.3095015867089789,0.040371985677193814,0.0745575437567224
