,YBL113C,YEL077C,YFL067W,YLR106C,YHL050C,YPL016W,YBR140C,YIL149C,YLR318W,YLR430W,YIL038C,YMR207C,YFL007W,YKR095W,YJL042W,Q0045,YGR178C,YMR317W,YOR373W,YML034W,YDR299W,YGL008C,YPR024W,YML023C,YML074C,YNL273W,YDR297W,YGL004C,YOL155C,YAR050W,Q0140,YOL081W,YJR045C,YEL040W,YJL129C,YPR117W,YJL019W,YKL129C,YPL177C,YNR032W
repsWithMutation,5.0,3.0,2.0,2.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0
pvalue,0.0,0.010640283740899757,0.0018667164457718873,0.2169124509986933,0.008586895650550682,0.04256113496359903,0.0,0.040507746873249956,0.010453612096322569,0.09426918051148031,0.029680791487773008,0.07858876236699645,0.040321075228672766,0.027440731752846743,0.016987119656524174,0.00018667164457718873,0.026694045174537988,0.0,0.018107149523987308,0.026507373529960798,0.008400224005973492,0.007093522493933172,0.01642710472279261,0.012880343475826022,0.005040134403584096,0.01605376143363823,0.0,0.011013627030054134,0.009893597162591002,0.0,0.0031734179578122084,0.0,0.00448011946985253,0.014933731566175099,0.00018667164457718873,0.050214672391263766,0.011946985252940079,0.043681164831062165,0.003920104536120963,0.0
padj,0.0,0.02097833720010311,0.007466865783087549,0.2169124509986933,0.020204460354236897,0.048534627590069074,0.0,0.04765617279205877,0.02097833720010311,0.09668633898613366,0.03710098935971626,0.08272501301789101,0.04765617279205877,0.03540739581012483,0.025166103194850627,0.0008296517536763943,0.03540739581012483,0.0,0.02586735646283901,0.03540739581012483,0.020204460354236897,0.01891605998382179,0.025166103194850627,0.022400597349262648,0.014400384010240274,0.025166103194850627,0.0,0.02097833720010311,0.02097833720010311,0.0,0.011539701664771666,0.0,0.013784982984161628,0.024889552610291833,0.0008296517536763943,0.05428613231487975,0.02172179136898196,0.048534627590069074,0.013067015120403211,0.0
