Genotype,Evo.trt,ontology.aspect,order,GOID,TERM,CORRECTED_PVALUE,UNCORRECTED_PVALUE,NUM_LIST_ANNOTATIONS,LIST_SIZE,TOTAL_NUM_ANNOTATIONS,POPULATION_SIZE,FDR_RATE,EXPECTED_FALSE_POSITIVES,ANNOTATED_GENES
BY4742,L,component,1,GO:0000838,Hrd1p ubiquitin ligase ERAD-M complex,0.00358637,3.86E-05,2,45,2,7166,0.00%,0,"YLR207W, YOL013C"
BY4742,L,function,1,GO:0003690,double-stranded DNA binding,0.000443713,5.35E-06,10,45,273,7166,0.00%,0,"YPL177C, YLR256W, YKL089W, YPL016W, YBR112C, YDR174W, YDR081C, YLR176C, YNL082W, YLR399C"
BY4742,L,function,2,GO:0043565,sequence-specific DNA binding,0.000882174,1.06E-05,10,45,295,7166,0.00%,0,"YPL177C, YLR256W, YKL089W, YER111C, YBR112C, YDR081C, YLR318W, YPL016W, YLR399C, YLR176C"
BY4742,L,function,3,GO:0003677,DNA binding,0.000946309,1.14E-05,14,45,605,7166,0.00%,0,"YDR081C, YER111C, YLR318W, YLR399C, YNL082W, YLR176C, YDR174W, YBR112C, YPL016W, YOR172W, YLR373C, YLR256W, YKL089W, YPL177C"
BY4742,L,function,4,GO:1990837,sequence-specific double-stranded DNA binding,0.004816003,5.80E-05,8,45,221,7166,0.00%,0,"YLR176C, YLR399C, YPL177C, YPL016W, YLR256W, YKL089W, YBR112C, YDR081C"
BY4742,L,function,5,GO:0000976,transcription regulatory region sequence-specific DNA binding,0.006339832,7.64E-05,7,45,169,7166,0.00%,0,"YLR176C, YLR399C, YPL177C, YPL016W, YLR256W, YBR112C, YDR081C"
BY4742,L,function,6,GO:0044212,transcription regulatory region DNA binding,0.00658117,7.93E-05,7,45,170,7166,0.00%,0,"YLR176C, YLR399C, YPL016W, YLR256W, YPL177C, YDR081C, YBR112C"
BY4742,L,function,7,GO:0001067,regulatory region nucleic acid binding,0.007086435,8.54E-05,7,45,172,7166,0.00%,0,"YLR399C, YLR176C, YDR081C, YBR112C, YPL016W, YLR256W, YPL177C"
BY4742,L,process,1,GO:0065007,biological regulation,0.009479689,2.55E-05,27,45,2142,7166,2.00%,0.02,"YNL288W, YLR399C, YDR174W, YJL042W, YLR019W, YJL157C, YFR016C, YJL134W, YLR318W, YOR070C, YKL171W, YER111C, YOL013C, YMR205C, YBR112C, YLR256W, YDR081C, YGL008C, YDR294C, YLR183C, YPL177C, YLR176C, YAL036C, YPL016W, YLR207W, YLR373C, YOR172W"
BY4742,L,process,2,GO:0050789,regulation of biological process,0.009534086,2.56E-05,24,45,1744,7166,1.00%,0.02,"YBR112C, YLR256W, YGL008C, YDR081C, YPL016W, YLR207W, YOR172W, YLR373C, YLR176C, YAL036C, YDR294C, YLR183C, YPL177C, YJL134W, YLR019W, YFR016C, YJL157C, YDR174W, YJL042W, YNL288W, YLR399C, YER111C, YOL013C, YKL171W"
BY4742,L,process,3,GO:0050794,regulation of cellular process,0.009609313,2.58E-05,23,45,1619,7166,0.67%,0.02,"YKL171W, YOL013C, YER111C, YNL288W, YLR399C, YDR174W, YJL042W, YLR019W, YJL157C, YFR016C, YJL134W, YPL177C, YDR294C, YLR176C, YAL036C, YLR207W, YLR373C, YOR172W, YPL016W, YBR112C, YLR256W, YGL008C, YDR081C"
sch9,L,component,1,GO:0043228,non-membrane-bounded organelle,0.00868585,9.34E-05,18,36,1493,7166,4.00%,0.04,"YJL019W, YKL129C, YDR299W, Q0140, YPL016W, YML023C, YJL042W, YLR318W, YML034W, YKR095W, YIL149C, YIL038C, YML074C, YJR045C, YNL273W, YEL040W, YOR373W, YGR178C"
sch9,L,component,2,GO:0043232,intracellular non-membrane-bounded organelle,0.00868585,9.34E-05,18,36,1493,7166,2.00%,0.04,"Q0140, YML023C, YJL042W, YPL016W, YKL129C, YJL019W, YDR299W, YML074C, YJR045C, YIL149C, YIL038C, YNL273W, YOR373W, YEL040W, YGR178C, YLR318W, YML034W, YKR095W"
sch9,L,process,1,GO:0007193,adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway,0.008957162,2.45E-05,2,36,2,7166,6.00%,0.06,"YOL081W, YBR140C"
tor1,L,component,1,GO:0031224,intrinsic component of membrane,5.89E-05,8.80E-07,17,28,1328,7166,0.00%,0,"YER001W, YCR011C, YHL050C, YOL155C, YLR207W, YAR050W, YIL147C, YFL067W, YGL008C, Q0045, YLR426W, YJR126C, YOR009W, YOL013C, YML029W, YFR045W, YIR019C"
tor1,L,component,2,GO:0044425,membrane part,0.000199861,2.98E-06,18,28,1631,7166,0.00%,0,"YGL008C, Q0045, YJR126C, YLR426W, YOR009W, YFR045W, YIR019C, YML029W, YOL013C, YHL050C, YER001W, YCR011C, YOL155C, YLR207W, YAR050W, YJR033C, YFL067W, YIL147C"
tor1,L,component,3,GO:0016020,membrane,0.000328016,4.90E-06,20,28,2103,7166,0.00%,0,"YHL050C, YER001W, YCR011C, YOL155C, YLR207W, YAR050W, YIL169C, YJR033C, YFL067W, YIL147C, YGL008C, Q0045, YJR126C, YLR426W, YOR009W, YIR019C, YFR045W, YML029W, YOL013C, YFR022W"
tor1,L,component,4,GO:0000836,Hrd1p ubiquitin ligase complex,0.000769311,1.15E-05,3,28,12,7166,0.00%,0,"YLR207W, YOL013C, YML029W"
tor1,L,component,5,GO:0000839,Hrd1p ubiquitin ligase ERAD-L complex,0.000769311,1.15E-05,3,28,12,7166,0.00%,0,"YLR207W, YML029W, YOL013C"
tor1,L,component,6,GO:0000838,Hrd1p ubiquitin ligase ERAD-M complex,0.000986515,1.47E-05,2,28,2,7166,0.33%,0.02,"YOL013C, YLR207W"
tor1,L,component,7,GO:0000835,ER ubiquitin ligase complex,0.000997488,1.49E-05,3,28,13,7166,0.29%,0.02,"YML029W, YOL013C, YLR207W"
tor1,L,component,8,GO:0000153,cytoplasmic ubiquitin ligase complex,0.001266209,1.89E-05,3,28,14,7166,0.25%,0.02,"YLR207W, YML029W, YOL013C"
tor1,L,component,9,GO:0031225,anchored component of membrane,0.007625124,0.000113808,4,28,66,7166,0.22%,0.02,"YOR009W, YAR050W, YOL155C, YIR019C"
tor1,L,component,10,GO:0005576,extracellular region,0.007670464,0.000114485,5,28,127,7166,0.20%,0.02,"YIL169C, YOR009W, YAR050W, YIR019C, YOL155C"
tor1,L,process,1,GO:0051865,protein autoubiquitination,0.006796889,2.89E-05,3,28,16,7166,4.00%,0.04,"YML029W, YLR207W, YOL013C"
yp6,L,process,1,GO:0045595,regulation of cell differentiation,0.000329567,8.86E-07,4,41,14,7166,0.00%,0,"YGL197W, YMR043W, YPL016W, YAR019C"
BY4742,NL,process,1,GO:0034765,regulation of ion transmembrane transport,0.008902222,2.45E-05,3,49,9,7166,0.00%,0,"YNR013C, YCR037C, YGR217W"
pmr1,NL,function,1,GO:0048029,monosaccharide binding,0.001921529,3.63E-05,3,24,20,7166,0.00%,0,"YAR050W, YMR205C, YHR211W"
pmr1,NL,function,2,GO:0030246,carbohydrate binding,0.009780512,0.000184538,3,24,34,7166,4.00%,0.08,"YMR205C, YHR211W, YAR050W"
rpl19a,NL,component,1,GO:0005576,extracellular region,0.000444364,6.00E-06,6,27,127,7166,0.00%,0,"YAR050W, YNR067C, YOL155C, YER011W, YHR211W, YIL169C"
rpl19a,NL,component,2,GO:0031225,anchored component of membrane,0.007268798,9.82E-05,4,27,66,7166,0.00%,0,"YHR211W, YOL155C, YAR050W, YER011W"
rpl19a,NL,component,3,GO:0071944,cell periphery,0.008390303,0.000113382,11,27,836,7166,0.00%,0,"YDR373W, YNR067C, YIL169C, YOL155C, YAR050W, YJL020C, YHR211W, YKL209C, YJR090C, YER011W, YIR006C"
rpl19a,NL,component,4,GO:0009277,fungal-type cell wall,0.009103645,0.000123022,5,27,134,7166,0.00%,0,"YER011W, YNR067C, YAR050W, YOL155C, YHR211W"
rpl19a,NL,component,5,GO:0005618,cell wall,0.009429449,0.000127425,5,27,135,7166,0.00%,0,"YHR211W, YER011W, YAR050W, YNR067C, YOL155C"
rpl19a,NL,component,6,GO:0030312,external encapsulating structure,0.009429449,0.000127425,5,27,135,7166,0.00%,0,"YER011W, YAR050W, YOL155C, YNR067C, YHR211W"
sch9,NL,process,1,GO:0007193,adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway,0.007141189,2.45E-05,2,36,2,7166,4.00%,0.04,"YOL081W, YBR140C"
tor1,NL,component,1,GO:0031225,anchored component of membrane,0.000179351,2.11E-06,5,24,66,7166,0.00%,0,"YHR211W, YEL040W, YAL063C, YOL155C, YAR050W"
tor1,NL,component,2,GO:0000838,Hrd1p ubiquitin ligase ERAD-M complex,0.000913829,1.08E-05,2,24,2,7166,0.00%,0,"YLR207W, YOL013C"
tor1,NL,component,3,GO:0005576,extracellular region,0.004454647,5.24E-05,5,24,127,7166,0.00%,0,"YAR050W, YHR211W, YEL040W, YAL063C, YOL155C"
tor1,NL,component,4,GO:0009277,fungal-type cell wall,0.005759341,6.78E-05,5,24,134,7166,0.50%,0.02,"YAR050W, YOL155C, YEL040W, YHR211W, YAL063C"
tor1,NL,component,5,GO:0005618,cell wall,0.005967539,7.02E-05,5,24,135,7166,0.40%,0.02,"YHR211W, YEL040W, YAL063C, YOL155C, YAR050W"
tor1,NL,component,6,GO:0030312,external encapsulating structure,0.005967539,7.02E-05,5,24,135,7166,0.33%,0.02,"YEL040W, YHR211W, YAL063C, YOL155C, YAR050W"
tor1,NL,function,1,GO:0005537,mannose binding,6.64E-05,1.15E-06,3,24,7,7166,0.00%,0,"YHR211W, YAR050W, YAL063C"
tor1,NL,function,2,GO:0048029,monosaccharide binding,0.002102805,3.63E-05,3,24,20,7166,0.00%,0,"YAR050W, YHR211W, YAL063C"
tor1,NL,process,1,GO:0000128,flocculation,0.000678748,2.74E-06,3,24,9,7166,0.00%,0,"YAL063C, YAR050W, YHR211W"
tor1,NL,process,2,GO:0098630,aggregation of unicellular organisms,0.002290723,9.24E-06,3,24,13,7166,0.00%,0,"YAR050W, YHR211W, YAL063C"
tor1,NL,process,3,GO:0098743,cell aggregation,0.002290723,9.24E-06,3,24,13,7166,0.00%,0,"YAR050W, YHR211W, YAL063C"
ypt6,NL,component,1,GO:0031225,anchored component of membrane,0.007997513,0.000131107,4,29,66,7166,2.00%,0.02,"YER011W, YOL155C, YAR050W, YAL063C"
ypt6,NL,component,2,GO:0005576,extracellular region,0.00831951,0.000136385,5,29,127,7166,1.00%,0.02,"YAL063C, YAR050W, YOL155C, YIL169C, YER011W"
all.pooled,L,component,1,GO:0005623,cell,4.78E-09,2.06E-11,190,195,5892,7166,0.00%,0,"YBR263W, YKR082W, YOR070C, YGL004C, YDR137W, YML023C, YPR164W, YOR043W, YPL103C, YBR169C, YHR149C, YLR019W, YPL111W, YMR008C, YJR045C, YGL093W, YJR127C, YER133W, YGL008C, YBR274W, YLL013C, YPR204W, Q0140, YML074C, YIL147C, YLR451W, YPL083C, YPL051W, YJR126C, YGR013W, YLR081W, YNL288W, YNL233W, YJL157C, YDR138W, YOL066C, YOL013C, YJR110W, YOR009W, Q0070, YJR131W, YOR330C, YNL273W, YNR032W, YAL048C, YDL102W, YBR150C, YMR189W, Q0045, YCR018C, YDR135C, YLR371W, YMR205C, YOR308C, YLR084C, YOR373W, YIL019W, YPR095C, YPL190C, YIR019C, YLR256W, YIL169C, YIL038C, YOL091W, YPL032C, YJR134C, YLR207W, YDR285W, YGL022W, YFR016C, YNL172W, YBR083W, YAL036C, YKR095W, YLR436C, YKL029C, YOR172W, YIL142W, YGR178C, YHR211W, YLR336C, YMR052W, YAR019C, YBR112C, YKL179C, YDR299W, YNL127W, YDR265W, YPR026W, YLR183C, YNCC0009C, YML034W, YER111C, YNL082W, YBR148W, YDR464W, YLR318W, YPL216W, YER001W, YPL177C, YFR022W, YFL007W, YPL243W, YJL134W, YDL045C, YLR399C, YOL081W, YDR294C, YPR024W, YJR033C, YOR166C, YAL009W, YKL171W, YBL113C, YGR159C, YNL023C, YFL011W, YGR237C, YFR008W, YNL251C, YEL050C, YHL030W, YFL033C, YPR154W, YDR218C, YMR043W, YPL012W, YHR034C, YMR164C, YJL042W, YJL129C, YDR173C, YML017W, YLR176C, YIL149C, YML029W, YBR235W, YEL040W, YKR098C, YDR406W, YNR041C, YPL016W, YDL215C, YFR045W, YJL057C, YDR485C, YLR175W, YKL129C, YDL029W, YGR207C, YOL155C, YGL014W, YEL077C, YNCC0008W, YGL178W, YDR217C, YDR069C, YNL104C, YGL086W, YDL203C, YDR443C, YCR011C, YDR081C, YDL122W, YGL197W, YJL133C-A, YLR373C, YBR097W, YKL089W, YMR276W, YJL165C, YAL035W, YKL197C, YER014W, YKL109W, YLR238W, YJL019W, YDR174W, YAR050W, YDR297W, YKL164C, YAL063C, YLR309C, YDL202W, YHL050C, YER017C, YGL234W, YLL036C, YBR140C, YLR426W"
all.pooled,L,component,2,GO:0044464,cell part,4.78E-09,2.06E-11,190,195,5892,7166,0.00%,0,"YJL019W, YDR174W, YKL109W, YLR238W, YKL197C, YAL035W, YER014W, YAL063C, YAR050W, YDR297W, YKL164C, YER017C, YHL050C, YLR309C, YDL202W, YLR426W, YBR140C, YGL234W, YLL036C, YKL129C, YLR175W, YGL178W, YOL155C, YGL014W, YEL077C, YNCC0008W, YDL029W, YGR207C, YDR443C, YCR011C, YDR217C, YDR069C, YNL104C, YGL086W, YDL203C, YJL165C, YLR373C, YJL133C-A, YBR097W, YKL089W, YMR276W, YDR081C, YDL122W, YGL197W, YMR043W, YPL012W, YPR154W, YDR218C, YFL033C, YML017W, YDR173C, YMR164C, YJL042W, YJL129C, YHR034C, YKR098C, YBR235W, YEL040W, YLR176C, YIL149C, YML029W, YJL057C, YDR485C, YDL215C, YFR045W, YNR041C, YPL016W, YDR406W, YFL007W, YFR022W, YER001W, YPL177C, YKL171W, YPR024W, YOL081W, YDR294C, YJR033C, YAL009W, YOR166C, YLR399C, YPL243W, YJL134W, YDL045C, YNL023C, YBL113C, YGR159C, YFR008W, YNL251C, YEL050C, YHL030W, YFL011W, YGR237C, YMR052W, YAR019C, YBR112C, YLR336C, YHR211W, YPR026W, YDR265W, YKL179C, YDR299W, YNL127W, YER111C, YML034W, YNCC0009C, YLR183C, YLR318W, YPL216W, YDR464W, YNL082W, YBR148W, YPR095C, YPL190C, YOR373W, YIL019W, YLR371W, YMR205C, YOR308C, YLR084C, YDR135C, YIL169C, YOL091W, YIL038C, YLR256W, YIR019C, YNL172W, YDR285W, YFR016C, YGL022W, YJR134C, YPL032C, YLR207W, YIL142W, YGR178C, YKL029C, YOR172W, YKR095W, YLR436C, YBR083W, YAL036C, YOL013C, YNL233W, YJL157C, YDR138W, YOL066C, YLR081W, YNL288W, YPL083C, YPL051W, YGR013W, YJR126C, YJR110W, YOR330C, YJR131W, YOR009W, Q0070, Q0045, YCR018C, YMR189W, YBR150C, YNL273W, YNR032W, YAL048C, YDL102W, YPR164W, YOR043W, YML023C, YGL004C, YDR137W, YOR070C, YKR082W, YBR263W, YLR019W, YHR149C, YPL103C, YBR169C, YGL093W, YJR127C, YER133W, YGL008C, YPL111W, YMR008C, YJR045C, YLR451W, Q0140, YPR204W, YIL147C, YML074C, YBR274W, YLL013C"
all.pooled,L,component,3,GO:0005622,intracellular,0.000242154,1.04E-06,180,195,5722,7166,0.00%,0,"YLR371W, YMR205C, YLR084C, YOR308C, YDR135C, YPR095C, YPL190C, YOR373W, YIL019W, YIR019C, YLR256W, YIL038C, YOL091W, YJR134C, YPL032C, YLR207W, YNL172W, YDR285W, YGL022W, YFR016C, YKR095W, YLR436C, YBR083W, YAL036C, YIL142W, YGR178C, YKL029C, YOR172W, YLR336C, YMR052W, YAR019C, YBR112C, YDR265W, YDR299W, YKL179C, YNL127W, YPR026W, YNCC0009C, YLR183C, YER111C, YML034W, YDR464W, YNL082W, YBR148W, YPL216W, YLR318W, YGL004C, YDR137W, YKR082W, YBR263W, YOR070C, YPR164W, YOR043W, YML023C, YHR149C, YPL103C, YBR169C, YLR019W, YPL111W, YJR045C, YMR008C, YJR127C, YGL093W, YER133W, YGL008C, YBR274W, YLL013C, YLR451W, YPR204W, Q0140, YML074C, YNL288W, YPL083C, YPL051W, YJR126C, YGR013W, YOL013C, YNL233W, YJL157C, YDR138W, YOL066C, YJR110W, YOR009W, Q0070, YOR330C, YJR131W, YBR150C, YNR032W, YNL273W, YAL048C, YDL102W, Q0045, YCR018C, YMR189W, YLR175W, YKL129C, YDL029W, YGR207C, YGL178W, YGL014W, YEL077C, YNCC0008W, YDR443C, YCR011C, YDR217C, YDR069C, YNL104C, YGL086W, YDL203C, YDR081C, YDL122W, YGL197W, YJL133C-A, YLR373C, YBR097W, YKL089W, YMR276W, YKL109W, YLR238W, YAL035W, YKL197C, YER014W, YDR174W, YJL019W, YDR297W, YKL164C, YLR309C, YDL202W, YER017C, YHL050C, YBR140C, YGL234W, YLL036C, YLR426W, YER001W, YPL177C, YFL007W, YFR022W, YLR399C, YPL243W, YJL134W, YDL045C, YKL171W, YPR024W, YOL081W, YDR294C, YJR033C, YAL009W, YOR166C, YBL113C, YGR159C, YNL023C, YNL251C, YFR008W, YEL050C, YHL030W, YFL011W, YGR237C, YPR154W, YDR218C, YFL033C, YMR043W, YPL012W, YMR164C, YJL042W, YHR034C, YML017W, YDR173C, YIL149C, YLR176C, YML029W, YKR098C, YBR235W, YEL040W, YNR041C, YPL016W, YJL057C, YDR485C, YDL215C, YFR045W"
all.pooled,L,component,4,GO:0044424,intracellular part,0.000242154,1.04E-06,180,195,5722,7166,0.00%,0,"YNL023C, YGR159C, YBL113C, YNL251C, YFR008W, YHL030W, YEL050C, YFL011W, YGR237C, YFL007W, YFR022W, YPL177C, YER001W, YKL171W, YJR033C, YAL009W, YOR166C, YOL081W, YPR024W, YDR294C, YLR399C, YJL134W, YPL243W, YDL045C, YKR098C, YEL040W, YBR235W, YML029W, YIL149C, YLR176C, YJL057C, YDR485C, YFR045W, YDL215C, YPL016W, YNR041C, YPL012W, YMR043W, YDR218C, YPR154W, YFL033C, YML017W, YDR173C, YJL042W, YMR164C, YHR034C, YCR011C, YDR443C, YNL104C, YDL203C, YGL086W, YDR217C, YDR069C, YKL089W, YBR097W, YMR276W, YJL133C-A, YLR373C, YDL122W, YGL197W, YDR081C, YKL129C, YLR175W, YGL178W, YEL077C, YNCC0008W, YGL014W, YGR207C, YDL029W, YER017C, YHL050C, YDL202W, YLR309C, YLR426W, YBR140C, YLL036C, YGL234W, YDR174W, YJL019W, YLR238W, YKL109W, YAL035W, YKL197C, YER014W, YKL164C, YDR297W, YER133W, YGL008C, YGL093W, YJR127C, YJR045C, YPL111W, YMR008C, YLR451W, YML074C, YPR204W, Q0140, YLL013C, YBR274W, YOR043W, YPR164W, YML023C, YDR137W, YGL004C, YBR263W, YKR082W, YOR070C, YLR019W, YHR149C, YBR169C, YPL103C, YOR330C, YJR131W, YOR009W, Q0070, YCR018C, Q0045, YMR189W, YBR150C, YDL102W, YAL048C, YNR032W, YNL273W, YOL013C, YOL066C, YNL233W, YJL157C, YDR138W, YNL288W, YGR013W, YJR126C, YPL083C, YPL051W, YJR110W, YNL172W, YDR285W, YFR016C, YGL022W, YPL032C, YJR134C, YLR207W, YGR178C, YIL142W, YKL029C, YOR172W, YLR436C, YKR095W, YBR083W, YAL036C, YPL190C, YPR095C, YIL019W, YOR373W, YMR205C, YOR308C, YLR084C, YLR371W, YDR135C, YIL038C, YOL091W, YIR019C, YLR256W, YML034W, YER111C, YNCC0009C, YLR183C, YLR318W, YPL216W, YDR464W, YBR148W, YNL082W, YAR019C, YBR112C, YMR052W, YLR336C, YPR026W, YDR265W, YNL127W, YDR299W, YKL179C"
all.pooled,L,component,5,GO:0043229,intracellular organelle,0.001356617,5.85E-06,160,195,4874,7166,0.00%,0,"YGR178C, YLR373C, YJL133C-A, YOR172W, YKL029C, YKL089W, YBR097W, YMR276W, YKR095W, YLR436C, YDR081C, YGL197W, YDL122W, YBR083W, YAL036C, YNL172W, YDR285W, YGL022W, YDR443C, YCR011C, YDR217C, YJR134C, YDR069C, YLR207W, YNL104C, YGL086W, YDL203C, YOL091W, YIL038C, YIR019C, YLR256W, YDL029W, YGR207C, YPR095C, YKL129C, YPL190C, YOR373W, YIL019W, YLR371W, YMR205C, YOR308C, YLR084C, YDR135C, YLR175W, YLR426W, YLR318W, YPL216W, YDR464W, YBR140C, YNL082W, YLL036C, YBR148W, YER017C, YML034W, YER111C, YLR309C, YDL202W, YNCC0009C, YLR183C, YPR026W, YDR265W, YKL179C, YDR299W, YDR297W, YKL164C, YNL127W, YDR174W, YJL019W, YMR052W, YAR019C, YBR112C, YKL109W, YLR238W, YLR336C, YAL035W, YKL197C, YER014W, YLR451W, Q0140, YML074C, YBR274W, YFR008W, YNL251C, YHL030W, YLL013C, YEL050C, YFL011W, YNL023C, YJR127C, YGL093W, YER133W, YGL008C, YGR159C, YPL111W, YMR008C, YJR045C, YKL171W, YOL081W, YPR024W, YDR294C, YOR166C, YAL009W, YLR399C, YPL103C, YPL243W, YJL134W, YBR169C, YPR164W, YFL007W, YOR043W, YML023C, YGL004C, YDR137W, YER001W, YKR082W, YOR070C, YBR263W, YPL177C, Q0045, YCR018C, YDR485C, YDL215C, YMR189W, YFR045W, YBR150C, YNR041C, YPL016W, YNR032W, YNL273W, YDL102W, YAL048C, YOR330C, YKR098C, YBR235W, YJR131W, YEL040W, YOR009W, YIL149C, Q0070, YLR176C, YML029W, YML017W, YDR173C, YMR164C, YJL042W, YHR034C, YOL013C, YJL157C, YNL233W, YDR138W, YPL012W, YMR043W, YPR154W, YNL288W, YDR218C, YPL051W, YPL083C, YFL033C, YJR126C, YGR013W"
all.pooled,L,component,6,GO:0043226,organelle,0.001407675,6.07E-06,160,195,4876,7166,0.00%,0,"YKL171W, YOR166C, YAL009W, YOL081W, YPR024W, YDR294C, YLR399C, YBR169C, YJL134W, YPL243W, YPL103C, YOR043W, YFL007W, YPR164W, YML023C, YDR137W, YGL004C, YPL177C, YKR082W, YBR263W, YOR070C, YER001W, YLR451W, YML074C, Q0140, YNL251C, YFR008W, YLL013C, YHL030W, YEL050C, YBR274W, YFL011W, YGL008C, YER133W, YJR127C, YNL023C, YGL093W, YGR159C, YPL111W, YMR008C, YJR045C, YML017W, YDR173C, YJL042W, YMR164C, YHR034C, YOL013C, YPL012W, YMR043W, YDR138W, YJL157C, YNL233W, YDR218C, YNL288W, YPR154W, YJR126C, YGR013W, YFL033C, YPL051W, YPL083C, YDR485C, YCR018C, Q0045, YFR045W, YMR189W, YDL215C, YPL016W, YNR041C, YBR150C, YDL102W, YAL048C, YNR032W, YNL273W, YKR098C, YOR330C, YEL040W, YJR131W, YBR235W, YML029W, YIL149C, Q0070, YLR176C, YOR009W, YOL091W, YIL038C, YLR256W, YIR019C, YGR207C, YDL029W, YPL190C, YKL129C, YPR095C, YIL019W, YOR373W, YOR308C, YLR084C, YMR205C, YLR371W, YLR175W, YDR135C, YGR178C, YMR276W, YBR097W, YKL089W, YLR373C, YJL133C-A, YOR172W, YKL029C, YLR436C, YKR095W, YAL036C, YGL197W, YDL122W, YBR083W, YDR081C, YNL172W, YGL022W, YDR285W, YCR011C, YDR443C, YDL203C, YGL086W, YNL104C, YLR207W, YDR069C, YDR217C, YJR134C, YPR026W, YDR265W, YNL127W, YKL164C, YDR297W, YKL179C, YDR299W, YJL019W, YDR174W, YBR112C, YAR019C, YMR052W, YLR336C, YLR238W, YKL109W, YER014W, YKL197C, YAL035W, YLR318W, YPL216W, YLR426W, YBR140C, YDR464W, YLL036C, YBR148W, YNL082W, YER017C, YER111C, YML034W, YDL202W, YNCC0009C, YLR309C, YLR183C"
all.pooled,L,component,7,GO:0043231,intracellular membrane-bounded organelle,0.003701129,1.60E-05,150,195,4509,7166,0.00%,0,"YNL127W, YKL164C, YDR297W, YKL179C, YDR299W, YDR265W, YPR026W, YER014W, YKL197C, YAL035W, YLR336C, YLR238W, YKL109W, YBR112C, YMR052W, YJL019W, YDR174W, YLL036C, YNL082W, YBR140C, YDR464W, YLR318W, YPL216W, YLR426W, YLR183C, YDL202W, YNCC0009C, YLR309C, YER111C, YML034W, YER017C, YGR207C, YDL029W, YIR019C, YLR256W, YIL038C, YLR175W, YDR135C, YLR084C, YOR308C, YMR205C, YLR371W, YIL019W, YOR373W, YPL190C, YPR095C, YGL197W, YDL122W, YBR083W, YDR081C, YLR436C, YKR095W, YMR276W, YBR097W, YKL089W, YJL133C-A, YOR172W, YLR373C, YKL029C, YGR178C, YGL086W, YDL203C, YNL104C, YDR069C, YLR207W, YJR134C, YDR217C, YCR011C, YDR443C, YGL022W, YDR285W, YNL172W, YHR034C, YMR164C, YDR173C, YGR013W, YJR126C, YFL033C, YPL051W, YPL083C, YNL288W, YPR154W, YPL012W, YMR043W, YDR138W, YJL157C, YOL013C, YDL102W, YAL048C, YNL273W, YNR032W, YPL016W, YNR041C, YBR150C, YFR045W, YMR189W, YDL215C, YDR485C, YCR018C, Q0045, YML029W, YLR176C, Q0070, YIL149C, YOR009W, YJR131W, YBR235W, YKR098C, YOR330C, YBR169C, YJL134W, YPL243W, YPL103C, YLR399C, YAL009W, YOR166C, YOL081W, YPR024W, YDR294C, YKL171W, YKR082W, YBR263W, YPL177C, YOR070C, YER001W, YDR137W, YGL004C, YML023C, YOR043W, YFL007W, YPR164W, YFL011W, YNL251C, YLL013C, YFR008W, YHL030W, YEL050C, YBR274W, YML074C, Q0140, YLR451W, YMR008C, YPL111W, YJR045C, YGR159C, YGL008C, YER133W, YNL023C, YJR127C, YGL093W"
all.pooled,L,component,8,GO:0044430,cytoskeletal part,0.005316166,2.29E-05,19,195,238,7166,0.00%,0,"YJL042W, YKR095W, YBR148W, YDL029W, YOL091W, YDR218C, YPR154W, YIL149C, YLR175W, YGL086W, YKL129C, YJL019W, YNL172W, YER133W, YAR019C, YEL040W, YGL093W, YNL233W, YOR373W"
