Genotype,Evo.trt,ontology.aspect,order,GOID,TERM,CORRECTED_PVALUE,UNCORRECTED_PVALUE,NUM_LIST_ANNOTATIONS,LIST_SIZE,TOTAL_NUM_ANNOTATIONS,POPULATION_SIZE,FDR_RATE,EXPECTED_FALSE_POSITIVES,ANNOTATED_GENES
all.pooled,NL,process,2,GO:0050794,regulation of cellular process,6.25E-06,6.75E-09,72,171,1619,7166,0.00%,0,"YPR154W, YDR173C, YJL109C, YML010W, YNL054W, YGR098C, YML069W, YKL204W, YDR017C, YDR232W, YJL020C, YKL101W, YKR019C, YDR170C, YGR134W, YOR372C, YLR398C, YIR006C, YPR008W, YPL016W, YKL010C, YCR093W, YDR373W, YGL216W, YDR135C, YMR308C, YGR116W, YGL058W, YGL066W, YLR310C, YOL076W, YBR212W, YOR141C, YGL014W, YCR084C, YML091C, YJR033C, YBR150C, YJR090C, YDR174W, YNL271C, YKL139W, YLR451W, YBL051C, YCR081W, YOL013C, YNL267W, YIL149C, YIL169C, YMR179W, YKL068W, YNL309W, YGR014W, YJL092W, YBR140C, YJR138W, YMR164C, YOL081W, YGL194C, YLR278C, YMR093W, YBR101C, YDR309C, YDR398W, YBL022C, YDR080W, YOR373W, YJR065C, YGL100W, YGR092W, YLR207W, YBR289W"
all.pooled,NL,process,3,GO:0065007,biological regulation,2.82E-05,3.04E-08,85,171,2142,7166,0.00%,0,"YGL014W, YDL185W, YCR084C, YML091C, YJR033C, YBR150C, YDR174W, YJR090C, YNL271C, YKL209C, YKL139W, YBL051C, YLR451W, YCR081W, YOL013C, YNL267W, YIL149C, YIL169C, YPL063W, YMR179W, YKL068W, YNL309W, YJL092W, YGR014W, YCR037C, YBR140C, YJR138W, YMR205C, YMR164C, YNR013C, YLR278C, YGL194C, YOL081W, YBR101C, YKL213C, YMR093W, YDR309C, YDR080W, YBL022C, YDR398W, YOR373W, YJR065C, YGL100W, YLR207W, YBR289W, YGR092W, YPR154W, YDR173C, YJL109C, YML010W, YNL054W, YGR098C, YKL204W, YML069W, YDR017C, YKL101W, YKR019C, YJL020C, YDR170C, YDR232W, YGR134W, YOR372C, YPL190C, YLR398C, YIR006C, YKL010C, YCR093W, YPL016W, YPR008W, YDR373W, YDR135C, YGL216W, YMR308C, YGR217W, YGR116W, YLR318W, YGL058W, YLR310C, YGL066W, YER128W, YBR212W, YOR141C, YOL076W, YML060W, YHR050W"
all.pooled,NL,process,4,GO:0048522,positive regulation of cellular process,9.69E-05,1.05E-07,41,171,730,7166,0.00%,0,"YNL267W, YGR134W, YOR372C, YNL271C, YKL139W, YDR232W, YJL020C, YLR451W, YCR081W, YML091C, YJL109C, YML010W, YGR098C, YNL054W, YML069W, YPR154W, YCR084C, YDR173C, YDR398W, YBR212W, YJR065C, YOR373W, YGL100W, YBR289W, YGL194C, YGR116W, YLR278C, YMR093W, YGL066W, YLR310C, YDR309C, YJR138W, YMR164C, YKL068W, YNL309W, YIR006C, YPR008W, YPL016W, YCR093W, YDR373W, YJL092W"
all.pooled,NL,process,5,GO:0048518,positive regulation of biological process,2.54E-04,2.74E-07,41,171,756,7166,0.00%,0,"YCR093W, YPL016W, YPR008W, YJL092W, YDR373W, YKL068W, YNL309W, YIR006C, YMR164C, YJR138W, YMR093W, YLR310C, YDR309C, YGL066W, YGL194C, YGR116W, YLR278C, YGL100W, YBR289W, YDR398W, YOR373W, YJR065C, YBR212W, YCR084C, YDR173C, YPR154W, YGR098C, YNL054W, YML069W, YJL109C, YML091C, YML010W, YJL020C, YLR451W, YDR232W, YCR081W, YNL271C, YKL139W, YOR372C, YNL267W, YGR134W"
all.pooled,NL,process,6,GO:0034654,nucleobase-containing compound biosynthetic process,5.03E-04,5.43E-07,47,171,956,7166,0.00%,0,"YKL010C, YCR093W, YPR008W, YPL016W, YGR116W, YLR318W, YGL058W, YKL028W, YGL066W, YOR141C, YML060W, YPL167C, YDR173C, YJL109C, YML010W, YOL061W, YML069W, YDR145W, YLR035C-A, YKR019C, YGR134W, YPL190C, YOR372C, YKL068W, YNL309W, YBR140C, YNL141W, YMR164C, YGR274C, YLR278C, YGL194C, YMR093W, YDR398W, YML056C, YBR289W, YDL185W, YCR084C, YOR341W, YML091C, YBR150C, YDR174W, YGR204W, YKL139W, YLR451W, YCR081W, YIL149C, YMR179W"
all.pooled,NL,process,7,GO:0019438,aromatic compound biosynthetic process,6.35E-04,6.86E-07,49,171,1026,7166,0.00%,0,"YKL139W, YCR081W, YLR451W, YIL149C, YMR179W, YDL185W, YOR341W, YCR084C, YML091C, YDR174W, YGR204W, YBR150C, YGL194C, YLR278C, YMR093W, YDR398W, YBR289W, YML056C, YKL068W, YNL309W, YCL030C, YNL141W, YBR140C, YGR274C, YMR164C, YLR035C-A, YKR019C, YDR232W, YGR134W, YOR372C, YPL190C, YPL167C, YDR173C, YML010W, YJL109C, YDR145W, YML069W, YOL061W, YGR116W, YLR318W, YKL028W, YGL066W, YGL058W, YOR141C, YML060W, YKL010C, YCR093W, YPR008W, YPL016W"
all.pooled,NL,process,8,GO:0009987,cellular process,0.001021583,1.10E-06,151,171,5256,7166,0.00%,0,"YGR204W, YBR150C, YMR124W, YLR247C, YJR033C, YBR017C, YER011W, YBR223C, YML091C, YPR055W, YCR084C, YDL185W, YHR023W, YPL063W, YNL287W, YNL267W, YOL013C, YKL139W, YML017W, YNL141W, YBR140C, YCR037C, YJL092W, YLR320W, YDR219C, YOL017W, YKL068W, YGR092W, YGL100W, YBL079W, YJR065C, YDR398W, YDR309C, YMR093W, YKL164C, YGL194C, YNR013C, YLR389C, YLR222C, YGR098C, YNL054W, YOL061W, YGR289C, YJL109C, YJR041C, YPR154W, YGR134W, YCR036W, YDR245W, YDR170C, YKR019C, YPL012W, YLR035C-A, YFR019W, YGR217W, YER033C, YNR067C, YML103C, YDR373W, YPR008W, YPL016W, YIR006C, YLL003W, YLR398C, YHR050W, YML060W, YBR212W, YDR299W, YOL076W, YKL028W, YGL066W, YDR174W, YBR003W, YJR090C, YIL112W, YOR341W, YGL014W, YJR131W, YMR179W, YML124C, YIL169C, YIL149C, YEL040W, YCR081W, YCL031C, YBL051C, YLR451W, YNL271C, YOR125C, YMR164C, YGR274C, YJR138W, YPL051W, YMR205C, YCR069W, YGR014W, YCL030C, YOL155C, YCL052C, YNL309W, YBR289W, YLR207W, YML056C, YOR373W, YDR080W, YBL022C, YLR383W, YLL031C, YBR101C, YKL213C, YLR278C, YOL081W, YGR023W, YLR087C, YKL204W, YML069W, YDR145W, YMR066W, YPL110C, YOL034W, YML010W, YJR150C, Q0140, YPL167C, YDR173C, YEL077C, YOR149C, YGL075C, YPL190C, Q0115, YOR372C, YJL020C, YKL101W, YDR232W, YNR020C, YDR017C, YMR308C, YDR135C, YDL132W, YGL216W, YPR204W, YKL010C, YCR093W, YLR450W, YJR016C, YOR141C, YLR310C, YPL146C, YGL058W, YGR116W, YLR318W"
all.pooled,NL,process,9,GO:0018130,heterocycle biosynthetic process,0.001042397,1.13E-06,49,171,1043,7166,0.00%,0,"YPR008W, YPL016W, YCR093W, YKL010C, YGL066W, YKL028W, YGL058W, YLR318W, YGR116W, YML060W, YOR141C, YDR173C, YPL167C, YML069W, YDR145W, YOL061W, YML010W, YJL109C, YDR232W, YKR019C, YLR035C-A, YOR372C, YPL190C, YGR134W, YCL030C, YNL309W, YKL068W, YGR274C, YMR164C, YNL141W, YBR140C, YMR093W, YGL194C, YLR278C, YBR289W, YML056C, YDR398W, YOR341W, YCR084C, YDL185W, YGR204W, YDR174W, YBR150C, YML091C, YCR081W, YLR451W, YKL139W, YMR179W, YIL149C"
all.pooled,NL,process,10,GO:0016043,cellular component organization,0.001091057,1.18E-06,80,171,2120,7166,0.00%,0,"YPL146C, YGL058W, YKL028W, YGL066W, YGR116W, YLR318W, YML060W, YOR141C, YBR212W, YOL076W, YCR093W, YKL010C, YPL016W, YLL003W, YIR006C, YER033C, YML103C, YMR308C, YPR204W, YDR135C, YGL216W, YDR170C, YKR019C, YJL020C, YDR232W, YDR245W, YNR020C, YEL077C, YPR154W, YGL075C, YNL054W, YGR098C, YMR066W, YOL061W, YML069W, YDR145W, YML010W, YJR150C, YKL164C, YDR309C, YLL031C, YGL194C, YGR023W, YBL079W, YBR289W, YGR092W, YDR080W, YBL022C, YJR065C, YOR373W, YLR320W, YDR219C, YGR014W, YJL092W, YOL155C, YOL017W, YKL068W, YGR274C, YMR205C, YJR138W, YCL031C, YOL013C, YNL271C, YMR179W, YPL063W, YHR023W, YIL149C, YNL267W, YEL040W, YML124C, YPR055W, YCR084C, YMR124W, YDR174W, YBR017C, YER011W, YML091C, YIL112W, YLR247C, YJR033C"
all.pooled,NL,process,11,GO:0006996,organelle organization,0.001432759,1.55E-06,63,171,1520,7166,0.00%,0,"YNL054W, YGR098C, YMR066W, YML069W, YDR145W, YEL077C, YPR154W, YGL075C, YJL020C, YDR170C, YKR019C, YDR232W, YNR020C, YMR308C, YML103C, YPR204W, YDR135C, YGL216W, YCR093W, YPL016W, YLL003W, YIR006C, YML060W, YOR141C, YBR212W, YOL076W, YPL146C, YGL058W, YGL066W, YGR116W, YLR318W, YMR124W, YDR174W, YBR017C, YML091C, YIL112W, YLR247C, YCR084C, YPR055W, YPL063W, YMR179W, YHR023W, YIL149C, YNL267W, YML124C, YCL031C, YNL271C, YGR274C, YJR138W, YDR219C, YLR320W, YJL092W, YOL017W, YKL068W, YBL079W, YBR289W, YGR092W, YDR080W, YBL022C, YJR065C, YOR373W, YDR309C, YGL194C"
