Genotype,Evo.trt,Index,Gene,repsWithMutation,pvalue,padj,significant
tif2,L,555,YNL290W,2,0.012320329,0.053681432,0
tif2,L,556,YJL141C,2,0.025200672,0.071001109,0
tif2,L,557,YJR138W,2,0.112936345,0.123019947,0
tif2,L,558,YKR054C,2,0.309501587,0.309501587,0
tif2,L,559,YER075C,2,0.048534628,0.074557544,0
tor1,L,560,YMR162C,2,0.063095016,0.065270706,0
tor1,L,561,YLR106C,3,0.08736233,0.08736233,0
BY4742,NL,562,YLR430W,2,0.064215046,0.064775061,0
BY4742,NL,563,YJL207C,2,0.064775061,0.064775061,0
BY4742,NL,564,YJR127C,2,0.048161284,0.050994301,0
BY4742,NL,565,YBR140C,2,0.05898824,0.061257018,0
BY4742,NL,566,YGR116W,2,0.046854583,0.050602949,0
pmr1,NL,567,YMR207C,2,0.058241553,0.058241553,0
sch9,NL,568,YFL033C,2,0.060854956,0.060854956,0
tor1,NL,569,YLL040C,2,0.096322569,0.096322569,0
tor1,NL,570,YKR054C,2,0.091842449,0.095516147,0
