,dN/dS
1,1.0882056484951494
2,0.4896923420838205
3,0.48969240339312287
4,1.6323087994877086
5,0.43528215480954835
6,0.28565377330335456
7,0.2798241275775545
8,1.1426159737960828
9,0.5713078268496358
10,0.6529232568410462
11,0.9793850444060711
12,0.32646144127686805
13,0.5876308825541876
14,0.42439988962218794
15,0.6529232845689223
16,0.7461979722566671
17,0.5441026241151056
18,0.41973624174603025
19,0.6529232568410462
20,0.8161541732088275
21,1.6323086731625056
22,-0.0
23,0.7345386932541892
24,0.9793850471052332
25,0.23318676363495822
26,0.7617438625184031
27,1.3058468341074347
28,0.20403839314900168
29,0.7617438625184031
30,0.8977695859115069
31,0.6529232568410462
32,0.16323077502919112
33,0.39175387468172823
34,0.8488002996957142
35,0.7345386932541892
36,0.2539144340236208
37,0.2176409347284451
38,0.6529232289976887
39,0.8161540995450904
40,0.23318676363495822
41,1.6323086731625056
42,0.5713078268496358
43,0.8488002996957142
44,0.4080768679841559
45,1.1426159340714348
46,0.373098866665423
47,0.39175372857592516
48,3.2646177466719513
49,1.1752621886603496
50,0.35613970957952507
51,0.8161541732088275
52,0.5441026241151056
53,0.22852296259925678
54,0.5985129105029897
55,0.7073334963485592
56,0.6529232012474742
57,0.6529232012474742
58,0.7617437957308018
59,0.5441026241151056
60,0.8161541363153978
61,0.5304999921285786
62,2.2852325083366494
63,0.5713078268496358
64,0.19587681723674277
65,0.7182155806691095
66,0.2901879362231936
67,0.373098866665423
68,0.7345386932541892
69,1.0137495046902183
70,0.6529232568410462
71,0.7617438625184031
72,0.4080768679841559
73,0.6529232568410462
74,1.5234881518326069
75,0.21764087209521826
76,0.4080768679841559
77,0.36726916647091307
78,0.6529232289976887
79,0.7345386932541892
80,0.8977695859115069
